#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
"To act as PIC of an aircraft carrying passengers, the pilot must have made three takeoffs and landing within the preceeding 90 days in an aircraft of the same <span class=""cloze"" data-cloze=""category&#x2C;&#x20;class&#x20;and&#x2C;&#x20;if&#x20;a&#x20;type&#x20;rating&#x20;is&#x20;required&#x2C;&#x20;type"" data-ordinal=""1"">[...]</span>"	"To act as PIC of an aircraft carrying passengers, the pilot must have made three takeoffs and landing within the preceeding 90 days in an aircraft of the same <span class=""cloze"" data-ordinal=""1"">category, class and, if a type rating is required, type</span><br>
"
"To act as PIC of an aicraft carrying passengers, the pilot must have a logbook endorsement showing the completion of a flight review in the preceeding <span class=""cloze"" data-cloze=""24&#x20;months"" data-ordinal=""1"">[...]</span>"	"To act as PIC of an aicraft carrying passengers, the pilot must have a logbook endorsement showing the completion of a flight review in the preceeding <span class=""cloze"" data-ordinal=""1"">24 months</span><br>
"
What is the definition of night?	The time beginning with the end of evening civil twilight and the beginning of morning civil twilight.&nbsp;
Daylight savings time is effective from when to when? What is the time offset from UTC/Zulu to MDT?	March 12th to Nov 5th (UTC -0600)
Standard time is effective from when to when? What is the time offset from UTC/Zulu to MST?	From the first Sunday in November to the second Sunday in March (UTC -0700)
What is the time offset for converting UTC time to Mountain Daylight Time?	-0600
What is the time offset for converting UTC time to Mountain Standard Time?	-0700
What is the difference between MST and MDT?	MST is Mountain Standard Time and is in effect&nbsp;from the first Sunday in November to the second Sunday in March. MDT is Mountain Daylight Time and is in effect when MST is not (effective during the summer)
Takeoffs and landings required to maintain recency in a tailwheel airplane must be done how many times and in what way?	Three times to a full stop&nbsp;
To meet the recency requirements to act as PIC and carry passengers at night (1 hr after sunset to 1 hour before sunrise), the pilot must:&nbsp;	Have completed three takeoffs and landings to a full stop at night in the same category, class and, if applicable, type.
You have accomplished 10 takeoffs and landing in a multi engine land airplane in the last 30 days. Are you current to carry passengers in a single engine airplane? Why or why not?	No, the takeoffs and landings count only towards aircraft of the same category, class and type (if applicable). Multi engine airplanes are the same category as single engine airplanes but a different class (multi vs single).
In order to continue exercising the privileges of your certificate, you have how many days after moving your permanent mailing address to notify the FAA?	30 days <br>61.60
A certificated private pilot may not act as PIC of an aircraft towing a glider unless there is entered in the pilots logbook a minimum of:	100 hours of flight time in the same category, class and, if applicable, type of the aircraft being used to tow the glider
To act as PIC of an aircraft towing a glider, the pilot must have made within the preceding 24 months	At least 3 actual or simulated glider tows while being accompanied by a qualified pilot
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze"" data-cloze=""18&#x2C;000"" data-ordinal=""6"">[...]</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze"" data-cloze=""250"" data-ordinal=""7"">[...]</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze"" data-cloze=""5"" data-ordinal=""3"">[...]</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze"" data-cloze=""6000"" data-ordinal=""2"">[...]</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze"" data-cloze=""6"" data-ordinal=""1"">[...]</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze"" data-cloze=""VFR&#x20;or&#x20;IFR"" data-ordinal=""4"">[...]</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze"" data-cloze=""United&#x20;States"" data-ordinal=""5"">[...]</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze-inactive"" data-ordinal=""8"">compensation or hire</span><br>
"
"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze"" data-cloze=""compensation&#x20;or&#x20;hire"" data-ordinal=""8"">[...]</span>"	"A pilot may act as PIC flying under BasicMed under the following conditions:<br><br>Aircraft:<br>Aircraft certificated to carry fewer than <span class=""cloze-inactive"" data-ordinal=""1"">6</span> occupants<br>Aircraft has a gross weight rating of less than <span class=""cloze-inactive"" data-ordinal=""2"">6000</span>&nbsp;lbs<br><br>Operating requirements:<br>Carries not more than <span class=""cloze-inactive"" data-ordinal=""3"">5</span>&nbsp;passengers<br>Operates under <span class=""cloze-inactive"" data-ordinal=""4"">VFR or IFR</span>, within the <span class=""cloze-inactive"" data-ordinal=""5"">United States</span>, at less than <span class=""cloze-inactive"" data-ordinal=""6"">18,000</span>&nbsp;feet&nbsp;MSL, not exceeding <span class=""cloze-inactive"" data-ordinal=""7"">250</span>&nbsp;knots.<br>Flight not operated for <span class=""cloze"" data-ordinal=""8"">compensation or hire</span><br>
"
Where may an aircrafts operating limitations be found if an aircraft has an experimental or special light sport airworthiness certificate?	It will be found attached to the airworthiness certificate<br>91.9
Under what conditions may object be dropped from an aircraft?&nbsp;	If proper precautions are taken to avoid injury or damage to persons or property on the ground&nbsp;<br>91.15
No person may act as a crewmember of an aircraft with a blood alcohol level of	.04 BAC<br>91.17
Under what condition may a pilot allow a person who is obviously under the influence of a drug to be carried aboard an aircraft?	Only in an emergency or if the person is a medical patient under proper care<br>91.17
A person may not act as a crewmember of an aircraft if alcoholic beverages&nbsp; have been consumed by that person within the preceding&nbsp;	8 hours (this is a minimum. you still must be below .04 BAC)<br>91.17
Preflight action, as required for all flights away from the vicinity of an airport, shall include	An alternate course of action if the flight cannot be completed as originally intended<br>91.103
Except when necessary for takeoff and landing, what is the minimum safe altitude for a pilot to operate any aircraft?	An altitude allowing, should the power unit fail, an emergency landing without undue hazard to persons or property on the surface<br>91.119
Except for takeoff and landing, what is the minimum safe altitude for pilots operating over congested areas?	An altitude of at least 1,000ft above the highest obstacle in a 2,000ft radius<br>91.119
Except when necessary for takeoff and landing, a pilot may not operate within what altitude of an person, structure, vehicle or vessel?	500ft&nbsp;<br>91.119
Except for takeoff and landing, what is the minimum altitude a pilot may operate over an area other than congested?	An altitude of 500ft, except over open water or sparsely populated areas, where the pilot must maintain a distance of 500ft from any person, structure, vehicle or vessel.&nbsp;<br>91.119
"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze"" data-cloze=""500ft&#x20;from&#x20;any&#x20;person&#x2C;&#x20;structure&#x2C;&#x20;vehicle&#x20;or&#x20;vessel"" data-ordinal=""3"">[...]</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119"	"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119<br>
"
"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze"" data-cloze=""1&#x2C;000ft&#x20;over&#x20;the&#x20;highest&#x20;obstacle&#x20;in&#x20;a&#x20;2&#x2C;000ft&#x20;radius&#x20;of&#x20;the&#x20;aircraft"" data-ordinal=""2"">[...]</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119"	"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119<br>
"
"Minimum altitude anywhere: <span class=""cloze"" data-cloze=""An&#x20;altitude&#x20;which&#x2C;&#x20;should&#x20;an&#x20;emergency&#x20;landing&#x20;be&#x20;necessary&#x2C;&#x20;does&#x20;not&#x20;bring&#x20;undue&#x20;hazard&#x20;to&#x20;an&#x20;person&#x20;or&#x20;structure&#x20;on&#x20;the&#x20;surface"" data-ordinal=""1"">[...]</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119"	"Minimum altitude anywhere: <span class=""cloze"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze-inactive"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119<br>
"
"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze"" data-cloze=""Not&#x20;within&#x20;500ft&#x20;of&#x20;any&#x20;person&#x2C;&#x20;structure&#x2C;&#x20;vessel&#x20;or&#x20;vehicle"" data-ordinal=""4"">[...]</span><br>91.119"	"Minimum altitude anywhere: <span class=""cloze-inactive"" data-ordinal=""1"">An altitude which, should an emergency landing be necessary, does not bring undue hazard to an person or structure on the surface</span><br>Minimum altitude over congested areas: <span class=""cloze-inactive"" data-ordinal=""2"">1,000ft over the highest obstacle in a 2,000ft radius of the aircraft</span><br>Minimum altitude over uncongested areas: <span class=""cloze-inactive"" data-ordinal=""3"">500ft from any person, structure, vehicle or vessel</span><br>Over sparsely populated areas or open water: <span class=""cloze"" data-ordinal=""4"">Not within 500ft of any person, structure, vessel or vehicle</span><br>91.119<br>
"
